"","state","year","entered","entered.nkin","bent","went","cl","bcl","wcl","pl.pre.adopt","pl.foster.rel","pl.foster.non.rel","pl.grphome","pl.inst","pl.indliv","pl.awol","pl.trialvis","b.pl.pre.adopt","b.pl.foster.rel","b.pl.foster.non.rel","b.pl.grphome","b.pl.inst","b.pl.indliv","b.pl.awol","b.pl.trialvis","w.pl.pre.adopt","w.pl.foster.rel","w.pl.foster.non.rel","w.pl.grphome","w.pl.inst","w.pl.indliv","w.pl.awol","w.pl.trialvis","cg.reunify","cg.other.rel","cg.adopt","cg.long.fc","cg.emanc","cg.guard","cg.noplan","cg.na","b.cg.reunify","b.cg.other.rel","b.cg.adopt","b.cg.long.fc","b.cg.emanc","b.cg.guard","b.cg.noplan","b.cg.na","w.cg.reunify","w.cg.other.rel","w.cg.adopt","w.cg.long.fc","w.cg.emanc","w.cg.guard","w.cg.noplan","w.cg.na","prtjail","pop","whtpop","blkpop","child","blkchild","whtchild","adult","blkadult","whtadult","pov","childpov","blkpov","whtpov","blkchildpov","whtchildpov","unemp","whtunemp","blkunemp","emp","whtemp","blkemp","LessHS","wLessHS","bLessHS","kidskincare","wkidskincare","bkidskincare","kids2par","wkids2par","bkids2par","avgrent","incartot","new.incar","stname","police.ft.emp","police.tot.pay","welfare.ft.emp","welfare.tot.pay","cor.ft.emp","cor.tot.pay","edu.ft.emp","edu.tot.pay","drop","hosp.ft.emp","hosp.tot.pay","drop.1","tot.ft.emp","tot.tot.pay","statename","citi6010","inst6010_adacope","inst6010_nom","death.sent","death.pen","crime","food.insec","GSP","AFDCRec","SNAPRec","AFDCBen3","SNAPBen3","AFDCFS3Ben","Total.SSI","npoor","eitc.st","medicaidrec","WIC.par","NSLP.Total","SBP.Total","rpp"
"325",35,2006,2121,1746,120,571,6539,305,1243,496,741,1965,248,251,92,97,528,62,39,134,16,13,9,6,26,144,177,558,70,73,27,21,173,1759,29,1171,56,227,112,1023,0,105,3,109,4,17,8,58,0,519,11,340,11,77,23,255,0,415,1885470.66666667,801628.666666667,38007.3333333333,491180.666666667,11944,148242.333333333,1394290,26063.3333333333,653386.333333333,361357,135896.333333333,10075.6666666667,88085.6666666667,3908,20130.6666666667,66294.6666666667,21879.3333333333,3011.66666666667,861901.333333333,401050.333333333,16044.3333333333,0.16021024543957,0.0536407721066123,0.110786312418479,52175.3333333333,9241.33333333333,2119,281370.666666667,106056.666666667,3873.33333333333,744.81291764111,6639,4343,"NM",4454,20078625.28,2148,7383953.92,5706,19618068.96,NA,NA,"Hospitals",9431,39189096,"Total",115776,432808759.04,"New Mexico",61.91001,91.99048,80.26433,0,TRUE,85497,0.16,77716,43040,244672,435.68,446.88,788,603,328,0,406101,64231,213111,113812,0.948
"326",36,2006,13353,11112,5832,3070,56615,19981,8931,4785,6418,18463,3122,7650,0,864,1960,2110,3619,8326,1386,3151,0,424,965,857,574,4383,663,2055,0,62,337,23287,1024,10798,0,4915,1210,1505,0,10634,497,5070,0,2335,596,601,0,5259,191,1885,0,971,247,324,0,NA,18681354,11326014,2896887.66666667,4527250.33333333,850983.666666667,2428847.33333333,14154103.6666667,2045904,8897166.66666667,2673777,947477,664579,1017376.33333333,284312,289395.666666667,653084.333333333,317337.666666667,156704.333333333,8743744.33333333,5583267,1198563.66666667,0.129713305944626,0.0791311276590031,0.161682987222276,391736,114567.666666667,141318.666666667,2823528,1873477.66666667,259374.666666667,1100.96480340725,63538,26293,"NY",72429,495770721.6,52799,217257550.72,58614,291032841.12,NA,NA,"Hospitals",81757,377831010,"Total",1079685,6054966846.88,"New York",68.05103,41.10945,45.14308,0,TRUE,478362,0.106,1080201,307910,1785914,773.92,446.88,1043,690,2668,0.3,4136829,481089,1820880,520242,1.152
"327",37,2006,6413,4194,2648,3032,23105,7323,7745,1308,4156,6838,969,941,35,196,1960,539,1848,3126,427,403,21,101,726,668,1934,3038,485,475,14,72,930,9616,773,4225,0,434,1386,136,0,4022,389,1921,0,239,660,49,0,4581,329,1960,0,168,573,69,0,310,8417915.33333333,5753433,1777465.33333333,2130717.66666667,533867,1281026.66666667,6287197.66666667,1243598.33333333,4472406.33333333,1297226.33333333,475307.666666667,485710.333333333,586910,203091.333333333,166444.666666667,302679.333333333,165955,102509.333333333,4021338,2867097,755853,0.161381771263228,0.130226786503396,0.188910264524022,193581,80268.6666666667,88525.6666666667,1299211.66666667,942569.333333333,172490.666666667,793.33317222832,37725,10648,"NC",19894,79408585.76,16666,56291478.88,25374,81821072.48,NA,NA,"Hospitals",39073,149798233,"Total",468028,1847378794.24,"North Carolina",52.75735,84.37583,73.75999,5,TRUE,400835,0.135,383966,58801,854407,304.64,446.88,671,603,1225,0,1324420,232990,945601,357738,0.917
"328",38,2006,948,752,38,617,3160,99,1395,252,491,757,103,491,0,9,98,30,15,34,6,13,0,0,1,161,336,451,65,309,0,5,61,1137,72,451,210,80,58,46,0,35,0,38,4,2,3,1,0,753,31,272,123,53,39,26,0,77,613033.333333333,552873.666666667,5174.33333333333,140818.666666667,2022.66666666667,118767.666666667,472214.666666667,3151.66666666667,434106,69673.6666666667,19961.3333333333,907,55007.3333333333,381,13690,12682.6666666667,10303.6666666667,82.3333333333333,338417.333333333,312677.666666667,2289,0.105409527059453,0.100895269891235,0.0448179271708683,7003,2894,73,102946,92944,905.333333333333,605.027858830325,1337,1102,"ND",1159,4609613.12,1239,4211761.12,927,3067218.56,NA,NA,"Hospitals",812,2018044,"Total",34072,149272437.44,"North Dakota",64.43597,20.14565,41.78979,0,FALSE,13056,0.07,26801,6840,42576,534.24,446.88,876,603,70,0,53679,14411,78388,17488,0.897666666666667
"329",39,2006,11880,8073,4797,6583,39179,11812,14459,2128,6112,14514,1102,2258,233,625,310,934,2637,6105,468,970,160,404,126,1111,3261,7799,608,1225,69,206,173,11170,0,4189,2191,1403,0,3134,0,4920,0,2195,1190,740,0,1145,0,5799,0,1815,942,637,0,1845,0,346,11162661.3333333,9287979.33333333,1301758,2763602,410169,2149952.33333333,8399059.33333333,891589,7138027,1495293,543816,384550,991689,172163,317917.666666667,429290,311209.333333333,93592.6666666667,5356782.66666667,4601337,514094.333333333,0.113007217625557,0.103984739354693,0.163316408592573,196274,125931.666666667,52542.3333333333,1747521.33333333,1518767.33333333,113824.333333333,777.736127983163,48482,31897,"OH",23302,124491739.68,25979,98087692.64,24752,100130515.52,NA,NA,"Hospitals",18496,82722526,"Total",530749,2464712942.72,"Ohio",54.73086,16.57121,20.86888,2,TRUE,422132,0.133,480382,170195,1063290,459.2,446.88,809,603,1371,0,1765589,276757,1085362,283275,0.896333333333333
"330",40,2006,6817,4769,1659,3735,24861,4525,9758,1567,4111,6076,1296,683,20,193,4003,344,1225,1414,427,224,5,46,813,911,2164,3115,625,380,10,102,2409,9034,516,4466,329,801,153,2052,0,1991,159,1227,116,210,40,594,0,5081,268,2299,149,464,82,1050,0,790,3436665,2495823,243673.666666667,860236.333333333,75676,545481.333333333,2576428.66666667,167997.666666667,1950341.66666667,574061.333333333,208884.333333333,75398,337373.333333333,34189,103415,109793,68231,14415.3333333333,1602707.33333333,1208694.33333333,98907,0.133303110652818,0.111367266976015,0.146592027471193,75609.6666666667,40638.6666666667,9312,534961,372132,24209,706.342912201088,22873,8671,"OK",7409,31675938.56,6240,18778725.28,6445,21032482.24,NA,NA,"Hospitals",10463,36789468,"Total",194634,680717816.8,"Oklahoma",28.90653,44.36544,52.21438,4,TRUE,146718,0.137,138916,22546,435519,327.04,446.88,691,651,531,0.05,584647,119374,412947,184016,0.8955
"331",41,2006,5294,4338,403,2899,21430,1205,9024,1458,2381,6129,123,781,49,547,4668,65,202,506,6,63,6,67,290,833,1289,3368,75,511,35,313,2600,9340,19,3637,2482,253,405,0,0,655,2,216,276,35,21,0,0,5116,11,2006,1540,159,192,0,0,72,3562659,2900133.33333333,59042.3333333333,846722.333333333,18853,616507.666666667,2715936.66666667,40189.3333333333,2283625.66666667,497512,160187,16152.3333333333,336359,6808,87278,132753,103757.333333333,3831,1717206.66666667,1428227,24908.3333333333,0.100753083017424,0.0716057656274015,0.116102279588886,52266,37365.6666666667,1154.33333333333,569130,431935.333333333,6905,901.687292486898,13191,5496,"OR",6036,35156696.96,6272,25347252,8506,37264076.64,NA,NA,"Hospitals",5785,28233656,"Total",155230,764871381.12,"Oregon",62.44208,79.35,72.33398,1,TRUE,146053,0.136,163182,41835,434239,575.68,446.88,913,605,439,0.05,397885,102907,301199,135208,0.985833333333333
"332",42,2006,14209,11707,6122,6318,48651,16022,14571,1149,6688,14456,4682,5750,579,230,908,460,3714,5937,2073,3226,366,88,158,520,2384,6819,2159,1903,152,94,540,23023,1090,5385,1283,2642,851,168,0,10438,495,2478,444,1639,475,53,0,9903,534,2294,721,737,302,80,0,757,11968502,9905064,1191772.66666667,2805138.33333333,372620.666666667,2130544,9163363.66666667,819152,7774520,1460254,501516.333333333,350061.666666667,894291.666666667,153292,252470.666666667,395617,277110,82679.3333333333,5700032.33333333,4910649.66666667,439242.333333333,0.115345239486875,0.102117728284906,0.171198582444243,201828.333333333,105676,65312,1837443,1589435.33333333,90258.6666666667,820.949107536172,43971,17740,"PA",24425,140621628,31184,114903211.36,29443,118621737.92,NA,NA,"Hospitals",11828,37774493,"Total",508549,2431042241.6,"Pennsylvania",57.53421,60.11131,54.01176,4,TRUE,347294,0.108,533796,245071,1092298,451.36,446.88,802,630,1397,0,1693815,242041,1136505,248911,0.983833333333333
"333",44,2006,2032,1511,529,1001,6457,1148,2249,48,1117,1341,1653,91,37,137,0,13,332,340,386,34,7,36,0,23,564,675,872,36,22,56,0,2134,95,563,309,481,11,449,0,528,32,174,71,112,3,121,0,1092,47,244,198,280,4,210,0,97,1031602.66666667,821228.666666667,52695.6666666667,242618,17964.6666666667,168746.333333333,788984.666666667,34731,652482.333333333,126085,45965,17393,66707,8580,16136,32832.6666666667,23460.3333333333,2421.33333333333,519918.666666667,429776.333333333,22141,0.150671597215167,0.125112890126376,0.20904418434362,15253.6666666667,9321.66666666667,2155,147671.333333333,118226,4950.66666666667,964.130976665606,3713,906,"RI",2281,12735961.28,1681,9250029.6,1697,10827725.44,NA,NA,"Hospitals",1060,4794023,"Total",46995,253915323.2,"Rhode Island",83.29272,77.83333,69.51917,0,TRUE,30356,0.105,47530,23977,73195,620.48,446.88,947,660,110,0.25,187255,22549,83806,25799,0.992333333333333
"334",45,2006,3486,2991,1689,1632,11666,4210,3631,738,931,4245,508,1594,31,132,0,377,461,2328,181,782,17,64,0,336,439,1744,292,746,14,59,0,4307,445,2104,564,677,83,0,0,2039,223,1123,369,424,32,0,0,2048,211,899,184,241,48,0,0,60,4121834.66666667,2706947.66666667,1183463,1026480.33333333,355789.666666667,595858.666666667,3095354.33333333,827673.333333333,2111089,653590.333333333,238793,335999.333333333,264220.666666667,141129.333333333,73437,153732,71823.6666666667,72927.3333333333,1923519,1326064.66666667,484577,0.161847616180561,0.12730604354677,0.231863002926396,111589.666666667,40538.3333333333,62432.3333333333,581192,432927,105016,786.740604679137,22930,9620,"SC",10056,37123168.32,4357,12872749.12,10598,31627461.6,NA,NA,"Hospitals",23924,93762312,"Total",228179,854606334.4,"South Carolina",46.18517,14.15885,10.088,4,TRUE,217795,0.145,152084,35548,534294,268.8,446.88,639,603,474,0,788532,108656,491154,222511,0.9085
"335",46,2006,1356,1109,115,463,4363,209,1053,215,557,1018,0,610,15,7,583,21,28,93,0,31,1,1,34,96,194,312,0,229,5,1,216,1063,161,513,389,20,34,827,0,92,5,32,26,1,0,53,0,395,39,207,147,5,4,256,0,83,749578.333333333,665905.333333333,6700.33333333333,191882,2596,157191.666666667,557696.333333333,4104.33333333333,508713.666666667,98219.3333333333,33556.3333333333,1445,67173.3333333333,743,18759.6666666667,16711,10857,179.666666666667,395398.666666667,366626.333333333,3220.33333333333,0.0994222548021059,0.0909901625881764,0.072674865345469,12021.3333333333,5104.33333333333,606.666666666667,132413,119969.666666667,860,642.360172341036,3316,2436,"SD",1445,5925500,1218,3890600,1339,4261477.92,NA,NA,"Hospitals",1245,4055868,"Total",40708,150855101.6,"South Dakota",54.88194,15.5,28.05106,0,TRUE,12867,0.102,32489,6093,58466,568.96,446.88,907,618,82,0,102111,21100,105036,23672,0.872
"336",47,2006,6612,5812,1963,4185,22071,4957,9572,987,1681,6762,734,1264,37,475,3518,280,561,2280,273,473,12,184,894,648,1039,3993,436,738,24,248,2445,10221,1587,2919,63,0,0,472,0,2814,745,1160,23,0,0,141,0,6733,787,1626,37,0,0,277,0,240,5815307.33333333,4533757,957813.333333333,1401016,293976.333333333,995506.666666667,4414291.33333333,663837,3538250.33333333,921972,321131.666666667,268468,581130,119138.333333333,169594.666666667,213551.333333333,139484,63782.3333333333,2742094.33333333,2193313.66666667,403942.333333333,0.168483331473798,0.161055160667536,0.179170169894947,132677.333333333,78236.6666666667,45589.3333333333,850271,697509.666666667,83742.3333333333,737.655629462746,19312,13709,"TN",13249,48956192.32,8457,24294660.32,13982,43815634.24,NA,NA,"Hospitals",27351,96969531,"Total",296982,1121069715.36,"Tennessee",42.75021,60.56313,58.41457,1,TRUE,295689,0.145,239515,179985,870416,207.2,446.88,584,603,879,0,1266644,156801,685621,250451,0.904666666666667
"337",48,2006,16928,10775,4283,5824,62471,12610,15168,4306,12097,13970,3036,3598,81,1141,7012,1280,3606,3996,828,981,21,319,1492,1328,3998,4372,1018,1349,35,318,2627,15388,3464,13958,3321,2529,474,2069,0,3398,1078,4478,1089,824,132,510,0,5257,1255,4198,1287,915,202,689,0,1619,22351433.3333333,10931090.6666667,2479456.66666667,6333730.33333333,774103,2468469,16017703,1705353.66666667,8462621.66666667,3890165,1571716,595897.333333333,968727.333333333,253841,260581.666666667,848455,334581,163369,10344250.6666667,5517697,1068962,0.188905408453294,0.078864715447344,0.137097208189436,658376.666666667,176337.666666667,121872,4019381,1822100.33333333,280637,862.672533464494,158510,71927,"TX",46411,226813948.48,25022,77850166.24,70610,218165187.52,NA,NA,"Hospitals",73059,274407232,"Total",1222377,4695674002.88,"Texas",47.05811,10.8615,8.569122,11,TRUE,1080587,0.167,1093794,160806,2622548,249.76,446.88,622,603,3816,0,3009077,887107,3007594,1329316,0.964166666666667
"338",49,2006,2173,1770,156,1373,6556,300,2806,484,578,2042,174,374,183,96,444,33,28,147,11,28,9,11,33,298,395,1275,115,260,136,48,273,2111,161,884,1068,23,105,16,0,153,19,62,58,0,3,1,0,1336,94,561,727,14,60,5,0,371,2436346,2033520,21427,762349.666666667,8251,608793.666666667,1673996.33333333,13176,1424726.33333333,261104,95072.6666666667,4457,171843.666666667,1885.66666666667,53070,65716,51249.6666666667,1213.66666666667,1167587.66666667,987921.666666667,9105.66666666667,0.0790471636941712,0.05056034866797,0.151552155965868,44042.6666666667,29738,489.666666666667,604736.333333333,499146.333333333,5485,884.456921900938,5031,3534,"UT",3952,17943736.16,3420,12743498.88,5040,17820779.2,NA,NA,"Hospitals",5852,18386030,"Total",107941,467585310.08,"Utah",31.59181,10.125,13.62423,0,TRUE,94158,0.137,106720,18229,131753,530.88,446.88,873,603,235,0,204600,66602,304678,57683,0.971666666666667
"339",50,2006,701,618,31,650,2809,70,1988,100,205,1024,242,41,49,9,438,3,8,35,9,1,1,1,12,95,196,966,227,38,48,8,410,1390,3,358,113,35,3,206,0,58,0,5,2,0,0,5,0,1301,3,348,107,34,3,192,0,17,604545.666666667,580543.666666667,2926,134010.666666667,901.333333333333,126244,470535,2024.66666666667,454299.666666667,62582.6666666667,18942.3333333333,712,58215.3333333333,307.666666666667,17401,17858.6666666667,16276.3333333333,191.666666666667,328625.333333333,318446.333333333,1232,0.085066950152828,0.0844299695181591,0.112984423624786,5931,5189.33333333333,154.666666666667,92452.3333333333,87630,541.333333333333,888.956329357887,2215,2418,"VT",960,5047741.44,1223,5591649.28,1207,5148948,NA,NA,"Hospitals",201,732426,"Total",35549,153053885.6,"Vermont",89.82301,89.4243,70.20232,0,TRUE,15677,0.11,24330,10946,47677,716.8,446.88,1007,655,48,0.32,127213,16066,55431,19358,1.002
"340",51,2006,4039,3710,1729,1955,15030,5148,5089,924,652,5646,859,1864,300,165,506,447,244,2701,464,821,169,88,192,426,369,2504,349,934,120,64,278,3832,791,2256,1499,1649,1,752,0,1545,376,1121,786,881,1,351,0,1939,364,1018,634,675,0,349,0,309,7316049.33333333,5000628,1403628.33333333,1800451,401198.333333333,1116673.66666667,5515598.33333333,1002430,3883954.33333333,721995,242391,252813.333333333,368966.333333333,110068.333333333,93934.3333333333,191502.333333333,104408,64101.6666666667,3717831,2607947,662664.333333333,0.128460082444513,0.106529175202459,0.184914706436594,146726.333333333,63294.3333333333,60868,1202761.33333333,856209.666666667,151117,1075.11194208724,30823,12834,"VA",15967,78239367.36,11283,44496724.16,21059,73740054.08,NA,NA,"Hospitals",14565,49858629,"Total",385123,1696898841.12,"Virginia",49.63577,53.00834,48.95106,2,TRUE,210361,0.085,375955,26047,506656,358.4,446.88,719,603,651,0.2,732007,140695,745038,206415,1.03083333333333
"341",53,2006,6738,4595,913,4053,23358,2505,9976,236,5232,7415,626,860,16,234,2001,35,822,1086,160,120,0,56,226,160,3035,4446,346,557,12,124,1296,12681,284,2543,322,88,532,163,0,1802,64,415,64,14,120,26,0,7750,127,1561,157,54,225,96,0,478,6161434,4724600.33333333,201684,1501265,62139.6666666667,1024950,4660169,139544.333333333,3699650.33333333,774983,253661.666666667,46101.6666666667,480644.333333333,20085.6666666667,126995.666666667,232323,164704.333333333,12608.6666666667,2992296.66666667,2367207.33333333,88051.6666666667,0.0885674881325194,0.0583677463557436,0.0974014023169671,87073.3333333333,50831.3333333333,5781.66666666667,1009643,729661,27842.6666666667,976.876222417325,16827,15608,"WA",10276,65381351.84,10789,44526865.6,13262,59594969.28,NA,NA,"Hospitals",17007,97488581,"Total",273593,1573823946.24,"Washington",59.59489,82.48286,74.60043,0,TRUE,307828,0.113,315275,128323,535768,611.52,446.88,941,649,502,0,930344,160490,522978,148369,1.032
"342",54,2006,2814,2513,331,2362,9382,827,5541,639,476,2589,1933,233,81,86,496,91,50,325,248,19,14,23,50,529,415,2171,1624,212,66,62,435,3598,327,1410,26,634,397,0,0,422,43,202,5,74,57,0,0,3057,276,1162,21,554,332,0,0,161,1775513,1679771.33333333,53529.3333333333,386041,12801,357290,1389472,40728.3333333333,1322481.33333333,323867.666666667,101082.333333333,17131.6666666667,296340,5248,90318,54208,50414.3333333333,2289,748974.666666667,712004,21532.3333333333,0.178176820576473,0.179740302983731,0.128625534610263,28879,25471.3333333333,2026.66666666667,252620.333333333,240339.666666667,3442.66666666667,610.22531587703,4367,2830,"WV",2773,10092317.76,3352,9039110.08,3433,8692563.04,NA,NA,"Hospitals",3598,10613868,"Total",89917,314725639.2,"West Virginia",67.31618,89.75,78.41209,0,FALSE,50089,0.119,56666,23726,267630,380.8,446.88,739,603,277,0,317378,49704,207594,94959,0.8805
"343",55,2006,5443,4015,1710,2905,18448,4961,6249,639,3708,6131,1308,1047,0,171,1,237,1613,2319,442,232,0,117,1,302,1579,2955,690,687,0,36,0,6130,634,1805,1281,298,577,1501,0,2121,316,876,500,169,365,396,0,3142,241,689,665,98,148,844,0,182,5384001,4630205.66666667,311643,1311599,117686,1031064,4072402,193957,3599141.66666667,584862,194095.333333333,119597,368575.666666667,61648,90993.3333333333,185540.666666667,135331.666666667,27246.6666666667,2792529,2490640.66666667,112294.333333333,0.0932844960098889,0.0779146637576608,0.198258388052804,67488.3333333333,37398,15657,895818.333333333,780758.666666667,21388.6666666667,804.523779667031,22564,8703,"WI",11455,61244952.16,11948,51893515.52,12440,56438485.6,NA,NA,"Hospitals",3700,16062768,"Total",241459,1228441057.76,"Wisconsin",53.70724,54.11048,47.76561,0,FALSE,172470,0.101,237020,39521,367918,703.36,446.88,999,687,555,0.04,847434,112181,591230,94575,0.930166666666667
"344",56,2006,1159,955,45,886,3432,111,1754,31,380,700,230,547,26,9,284,6,11,38,6,30,6,0,12,24,296,535,176,424,18,4,221,1416,26,123,44,76,70,272,0,69,0,2,1,9,6,11,0,1098,18,107,36,62,44,190,0,0,495854,436893.666666667,4329.66666666667,116076,1351.66666666667,96907.3333333333,379778,2978,339986.333333333,50767.3333333333,15751.3333333333,520.666666666667,40728,85.3333333333333,11613,12795,10897.3333333333,43,267462.666666667,238641.333333333,2510,0.0764939992683761,0.0626863654281207,0.169995955683186,8437.66666666667,5779.66666666667,225.666666666667,78293,67511,705,732.588704301744,2035,851,"WY",1347,6432438.88,716,2643373.6,1556,5252703.68,NA,NA,"Hospitals",5211,19734945,"Total",39360,163611875.84,"Wyoming",35.46685,45.92506,47.45901,0,TRUE,16282,0.112,33075,508,24236,380.8,446.88,739,613,51,0,61279,12513,52305,12460,0.961166666666667
"345",1,2007,3937,3032,1619,2117,14837,4923,5575,601,1837,5084,279,1436,68,293,1059,260,729,2367,137,757,32,163,329,330,1058,2484,134,660,33,122,662,5034,1510,1861,2081,0,0,414,0,2047,687,803,1161,0,0,225,0,2729,777,1013,881,0,0,175,0,100,4467216,3082778,1162241,1113711,347913,686034,3353505,814328,2396744,760310,277689,355041,353362,150374,102723,143396,75834,61589,1996335,1440423,461156,0.171238354414562,0.152311231083096,0.213955301650135,129150,59524,60778,638914,489713,103760,716.076496807982,25253,10898,"AL",10190,41052060.36,5605,17039502.36,8044,25107565.68,132917,460320104,"Hospitals",33228,128422194,"Total",264061,981742592.52,"Alabama",40.31423,43.75,42.45374,13,TRUE,177460,0.133,169689,43035,545955,232.2,440.64,623,623,662,0,719397,126280,577930,196408,0.8775
"346",2,2007,920,712,90,283,3830,297,946,100,724,1044,0,235,11,76,720,15,76,128,0,16,0,11,51,30,225,329,0,70,4,23,265,1332,23,916,77,97,176,111,0,103,0,122,7,10,24,13,0,450,7,304,25,33,56,28,0,137,654219,440177,25048,183146,9611,104236,471073,15437,335941,69528,27018,4966,30372,2522,9036,30139,14667,1393,324679,241215,11128,0.0777306754741754,0.0445843388241877,0.090497371613425,13491,4601,678,121728,76319,4693,1066.02537593082,5151,3272,"AK",1071,6981967.8,1916,8077742.28,1833,8941176.36,21756,102025910,"Hospitals",759,4229290,"Total",47277,245521116.36,"Alaska",45.62132,16.16667,31.24092,0,FALSE,26927,0.116,49194,8589,56181,996.84,520.56,1397,985,51,0,96217,25205,53233,14250,1.06116666666667
"347",4,2007,7398,5048,951,3016,23911,2127,7014,576,4908,6746,1601,1596,151,450,142,51,594,820,239,284,30,54,14,236,1959,3043,698,621,77,170,65,7366,706,3928,418,1448,114,1876,0,832,93,473,75,222,20,315,0,3201,265,1750,171,669,56,642,0,151,6042761,3604807,200388,1609634,67651,714323,4433127,132737,2890484,865424,335922,43575,304589,20088,69355,167031,84382,8162,2760981,1752653,85991,0.139525459466604,0.058584066717987,0.10638745370582,149215,46249,6803,1004802,500544,27262,989.382479028916,37700,14500,"AZ",15480,100017599.04,7633,27352492.56,14850,57780226.8,139927,578580784,"Hospitals",5452,26436910,"Total",267149,1264289024.88,"Arizona",50.14946,54.21875,48.43472,7,TRUE,289509,0.166,262380,78111,544688,374.76,440.64,755,623,912,0,1097241,186470,633312,210085,0.986666666666667
"348",5,2007,4086,3775,1321,2522,11490,2551,4439,425,638,3897,292,1020,58,126,943,107,236,1397,91,352,14,55,298,284,383,2269,189,609,43,61,597,4749,394,989,0,601,31,499,0,1543,168,364,0,242,6,163,0,2936,210,575,0,335,23,295,0,601,2725899,2082505,416048,690006,135536,465469,2035893,280512,1617036,487655,182291,145940,282386,65135,87100,93179,57656,28163,1232079,980298,158695,0.164674285831289,0.144769955816134,0.197000792742007,70904,38532,24481,408389,320533,35879,696.515275590552,13275,6651,"AR",5934,20229815.88,3757,11031536.88,7233,19058024.52,88294,285305655,"Hospitals",7213,23100275,"Total",154793,519284932.56,"Arkansas",49.14935,44.4,43.88434,2,TRUE,124738,0.176,103592,19460,379768,220.32,440.64,612,623,387,0,619731,84457,347596,147241,0.873166666666667
"349",6,2007,41316,31122,9014,10113,157760,31319,28112,10021,29821,44286,7332,6241,472,7301,10970,2267,8602,11809,2434,1782,164,2097,2164,2828,5983,11400,2172,1589,153,1578,2409,31051,5321,27290,12864,4815,11551,23552,0,6461,2489,6311,4091,1793,4845,5329,0,7769,956,6970,3487,1234,2071,5625,0,677,35409308,15182579,2150993,9389831,633810,2921192,26019477,1517183,12261387,4668617,1784870,443862,1183765,188227,254093,1203728,441294,120006,16544151,7712204,905032,0.169559539450696,0.0526801111912451,0.0948372156381964,884138,170270,96563,6142252,2152724,210315,1307.10205265334,171444,139774,"CA",69762,578212442.28,69949,325828837.44,86669,557021398.32,718776,4441179011,"Hospitals",92226,588624352,"Total",1571201,10267466785.2,"California",59.90655,51.70357,48.44385,10,TRUE,1299678,0.142,1949059,1158811,2048185,780.84,440.64,1079,856,4589,0,8103655,1378794,2987912,1027993,1.1305
"350",8,2007,6431,4759,962,3009,20793,2234,6814,1361,2603,5278,529,3682,208,178,252,202,328,821,100,661,28,39,15,690,1161,2480,251,1768,106,48,154,9091,960,1682,745,1455,65,25,0,1336,199,261,136,247,16,3,0,4346,385,779,367,729,35,13,0,651,4658856,3335922,171731,1168700,53271,716107,3490156,118460,2619815,550976,187848,38512,267802,17083,62190,146275,94133,9413,2432519,1838833,79655,0.0951437082952048,0.0430051305655873,0.0930334200683038,71539,30494,6534,802189,538118,19574,1021.10045086033,22666,11466,"CO",10203,58950006.12,7422,32337537.12,10505,46990510.56,116495,522751500,"Hospitals",12529,58356058,"Total",226852,1112202513.36,"Colorado",49.9627,35.32943,28.66049,0,TRUE,158476,0.139,244349,27540,250704,384.48,440.64,764,648,478,0,405042,91062,364749,90740,1.01283333333333
"351",9,2007,2684,1454,966,909,11615,3360,2994,534,951,2419,467,993,12,28,187,186,385,923,195,378,5,10,57,204,320,740,156,343,3,4,63,2242,873,1443,0,2338,79,0,0,834,377,517,0,920,40,0,0,727,277,514,0,786,16,0,0,292,3379248,2526463,305478,820094,94854,546524,2559154,210624,1979939,274799,94546,50590,124235,22536,27248,114720,68789,19634,1724285,1328692,143516,0.098247130449044,0.0715382205160688,0.157012581985935,45093,20496,12045,563446,438573,32343,1142.94628324368,19438,7228,"CT",8207,51864136.92,3507,18616343.4,7486,40326360.84,95604,485057301,"Hospitals",7664,50613438,"Total",166065,926590837.32,"Connecticut",78.81031,73.875,58.41107,2,TRUE,96167,0.112,236036,34561,212562,586.44,440.64,951,623,309,0,446115,53205,316382,59559,1.09516666666667
"352",10,2007,1110,928,665,345,3206,1247,683,109,258,937,150,515,2,16,108,60,145,549,81,351,1,10,49,42,97,311,61,127,1,6,38,1010,60,394,398,0,60,109,0,602,41,228,243,0,37,68,0,288,19,148,146,0,19,36,0,15,827788,574297,166540,203386,49534,122103,624402,117006,452194,90848,31976,33467,39663,15342,8601,24743,15186,7375,403442,290016,76298,0.117080699419615,0.0930935374490881,0.141371688303602,16754,7421,6844,127330,91088,15853,1043.60233233464,7110,1911,"DE",1550,9760244.04,1580,6153415.56,2816,12570753.96,19015,98688096,"Hospitals",1858,6320010,"Total",45524,215369656.92,"Delaware",68.4558,78.875,62.86156,2,TRUE,35613,0.103,56381,8624,67185,365.04,440.64,746,623,80,0.2,147005,20426,85672,28910,1.02133333333333
